method_name,degradation_type,severity,parameter,parameter_value,num_samples,top1_accuracy,top5_accuracy,overall_accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,inference_time_seconds,clean_top1_accuracy,clean_macro_f1,top1_drop,macro_f1_drop
hog_random_forest,blur,1,radius,1.0,5000,0.0104,0.0456,0.0104,0.0104,0.006476214172622699,0.0104,0.006253822292861688,30.002582916000392,0.0132,0.008393324228811136,0.0028000000000000004,0.0021395019359494475
hog_random_forest,blur,2,radius,2.0,5000,0.0124,0.0402,0.0124,0.012399999999999998,0.008184087731854249,0.012399999999999998,0.007574979681272166,25.84134687500773,0.0132,0.008393324228811136,0.0008000000000000004,0.0008183445475389694
hog_random_forest,blur,3,radius,3.0,5000,0.0078,0.0332,0.0078,0.0078000000000000005,0.0038605775639672284,0.0078000000000000005,0.0036986338581473247,27.97879025002476,0.0132,0.008393324228811136,0.0054,0.004694690370663811
hog_random_forest,blur,4,radius,4.0,5000,0.0106,0.032,0.0106,0.010599999999999998,0.005843490454261696,0.010599999999999998,0.005699554274852406,31.389661624998553,0.0132,0.008393324228811136,0.0026,0.0026937699539587292
hog_random_forest,blur,5,radius,5.0,5000,0.0096,0.0312,0.0096,0.0096,0.007481323303647542,0.0096,0.005640237095742543,30.464818875014316,0.0132,0.008393324228811136,0.0036000000000000008,0.002753087133068593
resnet18_pretrained_finetuned,blur,1,radius,1.0,5000,0.5828,0.7956,0.5828,0.5828,0.6477207224537636,0.5828,0.5889642454032469,64.91881895798724,0.6624,0.6620301298160315,0.0796,0.07306588441278461
resnet18_pretrained_finetuned,blur,2,radius,2.0,5000,0.3962,0.6332,0.3962,0.3962,0.5347877405571207,0.3962,0.4037803976771172,59.637613458005944,0.6624,0.6620301298160315,0.2662,0.2582497321389143
resnet18_pretrained_finetuned,blur,3,radius,3.0,5000,0.2546,0.463,0.2546,0.25460000000000005,0.4116410444646459,0.25460000000000005,0.25904129606986864,62.25889716699021,0.6624,0.6620301298160315,0.4078,0.40298883374616284
resnet18_pretrained_finetuned,blur,4,radius,4.0,5000,0.145,0.328,0.145,0.145,0.2634259010876732,0.145,0.1443141517915812,66.69299195799977,0.6624,0.6620301298160315,0.5174,0.5177159780244502
resnet18_pretrained_finetuned,blur,5,radius,5.0,5000,0.0902,0.2298,0.0902,0.0902,0.1821201381973097,0.0902,0.08675315455922217,125.06295979197603,0.6624,0.6620301298160315,0.5722,0.5752769752568093
resnet18_scratch_basic_aug_sgd,blur,1,radius,1.0,5000,0.3192,0.5508,0.3192,0.3192,0.36708754709643193,0.3192,0.319016544679436,45.31756070800475,0.3794,0.37511498506033875,0.06020000000000003,0.056098440380902725
resnet18_scratch_basic_aug_sgd,blur,2,radius,2.0,5000,0.1386,0.3224,0.1386,0.13860000000000003,0.2254705036282539,0.13860000000000003,0.13676188614592527,43.48346345801838,0.3794,0.37511498506033875,0.24080000000000001,0.23835309891441347
resnet18_scratch_basic_aug_sgd,blur,3,radius,3.0,5000,0.0692,0.1854,0.0692,0.0692,0.11408043347480465,0.0692,0.06214677287408031,42.439878709003096,0.3794,0.37511498506033875,0.31020000000000003,0.3129682121862584
resnet18_scratch_basic_aug_sgd,blur,4,radius,4.0,5000,0.0482,0.1354,0.0482,0.0482,0.07012071055884132,0.0482,0.03965700842112249,42.562675249995664,0.3794,0.37511498506033875,0.3312,0.3354579766392163
resnet18_scratch_basic_aug_sgd,blur,5,radius,5.0,5000,0.039,0.1144,0.039,0.039,0.05702033578667708,0.039,0.029799321072078198,41.844313042005524,0.3794,0.37511498506033875,0.34040000000000004,0.3453156639882605
sift_bovw_svm,blur,1,radius,1.0,5000,0.029,0.085,0.029,0.029,0.019129272323896274,0.029,0.021463066768524008,174.22144225001102,0.0318,0.025116982298457366,0.0028000000000000004,0.0036539155299333582
sift_bovw_svm,blur,2,radius,2.0,5000,0.0206,0.0626,0.0206,0.0206,0.017503528536451603,0.0206,0.015497523661095589,173.28225833299803,0.0318,0.025116982298457366,0.011200000000000002,0.009619458637361777
